"","Predator","Prey","Pct.m","Pct.m.ci","Pct.fo","Pct.fo.ci","Nstom","Ntows","Meansw"
"6855","Bluefish (Pomatomus saltatrix)","Loligo sp",46.5863050095229,3.50077406706008,24.7148288973384,5.21328805473891,263,137,4.30628762094968
"6856","Bluefish (Pomatomus saltatrix)","Unidentified fish",16.8041344530705,1.41567626654699,12.5475285171103,4.00353229887962,263,137,1.55331993299832
"6857","Bluefish (Pomatomus saltatrix)","Scomber scombrus",9.62765938727055,1.22545647974498,1.52091254752852,1.47911631112906,263,137,0.889949748743719
"6858","Bluefish (Pomatomus saltatrix)","Peprilus triacanthus",6.8851219422476,0.674069742152398,4.18250950570342,2.41946342679391,263,137,0.636438442211055
"6859","Bluefish (Pomatomus saltatrix)","Cephalopoda",4.29551623334147,0.397442486218326,9.88593155893536,3.60730858707455,263,137,0.39706365159129
"6860","Bluefish (Pomatomus saltatrix)","Illex sp",2.72205624415252,0.329336602214885,2.28136882129278,1.80453219784506,263,137,0.251618090452261
"6861","Bluefish (Pomatomus saltatrix)","Alosa pseudoharengus",2.63116157167642,0.480916984324742,0.380228136882129,0.743828979262126,263,137,0.24321608040201
"6862","Bluefish (Pomatomus saltatrix)","Loligo pealeii",2.05708995603793,0.375989642290253,0.380228136882129,0.743828979262126,263,137,0.190150753768844
"6863","Bluefish (Pomatomus saltatrix)","Euphausiacea",2.02958235778859,0.308099134740127,2.28136882129278,1.80453219784506,263,137,0.187608040201005
"6864","Bluefish (Pomatomus saltatrix)","Urophycis regia",1.28100601807817,0.171866825458432,1.14068441064639,1.28342279912512,263,137,0.118412060301508
"6865","Bluefish (Pomatomus saltatrix)","Squalus acanthias",0.915252814478187,0.145764805875975,0.760456273764259,1.04992360555178,263,137,0.0846030150753769
